Gene Symbol,HK index,Mixing ratio,Sigma,Zero (%),F-statistics
XPO1,0.85003,0.03419,0.76301,0.00131,4.32212
SF3B6,0.85001,0.02791,0.63597,0.00197,5.17177
LOC102288414,0.84946,0.03262,0.66404,0.0173,4.41103
TCERG1,0.84938,0.03004,0.73067,0.00197,4.62575
OGFOD1,0.84922,0.09436,0.62216,0.01393,2.63208
LMAN1,0.84905,0.08246,0.63737,0.00526,3.85543
ERP44,0.84892,0.08688,0.69659,0.01595,1.69892
CLINT1,0.84884,0.06415,0.66645,0.00791,4.1611
ARPP19,0.84879,0.07366,0.67898,0.00065,4.287
NMT1,0.84879,0.08575,0.73006,0.00065,3.28741
RBM6,0.84873,0.05846,0.71041,0.01124,3.79709
NAE1,0.84871,0.11359,0.6114,0.00394,2.34453
TIMM23,0.84854,0.08031,0.6246,0,4.55666
SIVA1,0.84833,0.07694,0.60047,0.00065,4.62609
TSN,0.84831,0.05692,0.68919,0.00658,4.23805
KPNA1,0.84828,0.06021,0.72193,0.01595,3.37285
GTF3C2,0.84827,0.06245,0.71546,0.00592,3.92855
MED28,0.84803,0.07336,0.66385,0.00991,3.79848
C12ORF45,0.84766,0.06361,0.6689,0.01393,3.93332
ORC1,0.84752,0.08334,0.72025,0.01865,0.96941
COX6C,0.8469,0.1261,0.43936,0.00065,3.44702
DDX52,0.84677,0.06789,0.66182,0.01124,3.99796
PAIP2,0.84664,0.0324,0.68522,0.00328,4.87029
MRPL53,0.84658,0.05649,0.67789,0.00658,4.393
GIGYF2,0.84648,0.08107,0.71419,0.0173,2.05655
CDC27,0.84632,0.07964,0.68906,0.02138,2.34251
UTP6,0.84612,0.05216,0.67077,0.00262,4.7467
SMAD2,0.84592,0.08282,0.68829,0.02206,1.99384
YTHDC1,0.8451,0.02221,0.75786,0.00526,4.36849
PSMC5,0.84486,0,0.69649,0.00065,5.21559
TRIM13,0.8448,0.06875,0.73301,0.02069,2.56119
ARIH2,0.84448,0.11257,0.47714,0,4.14891
UBE2L3,0.84434,0.08289,0.48819,0,4.9902
TAF1D,0.84433,0.05887,0.77982,0.00394,3.48766
BCCIP,0.84411,0.10474,0.49489,0.00065,4.21683
